Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Alzheimer's Disease	C0002395	LRPPRC	10128	P42704	leucine rich pentatricopeptide repeat containing		138	0.554	0.724	1.4484e-10	0.02	no reported evidence	1.0	2	0	2013.0	2013.0
Alzheimer's Disease	C0002395	OPTN	10133	Q96CV9	optineurin		93	0.572	0.586	1.0784e-17	0.02	no reported evidence	1.0	2	0	2011.0	2014.0
Alzheimer's Disease	C0002395	AKAP9	10142	Q99996	A-kinase anchoring protein 9		27	0.681	0.379	3.0686e-16	0.02	no reported evidence	1.0	2	2	2015.0	2016.0
Alzheimer's Disease	C0002395	FLOT1	10211	O75955	flotillin 1		20	0.727	0.414	1.5811e-08	0.02	no reported evidence	0.0	2	0	2003.0	2007.0
Alzheimer's Disease	C0002395	SPAG11B	10407	Q08648;Q6PDA7	sperm associated antigen 11B		34	0.659	0.621	0.029207	0.02	no reported evidence	1.0	2	0	2006.0	2009.0
Alzheimer's Disease	C0002395	OLFM1	10439	Q99784	olfactomedin 1	receptor; structural protein	13	0.785	0.276	0.99736	0.02	no reported evidence	1.0	2	0	1999.0	2004.0
Alzheimer's Disease	C0002395	GPNMB	10457	Q14956	glycoprotein nmb	cell adhesion molecule; signaling molecule	102	0.55	0.586	3.0945e-27	0.02	no reported evidence	1.0	2	0	1993.0	2009.0
Alzheimer's Disease	C0002395	AHSA1	10598	O95433	activator of HSP90 ATPase activity 1		174	0.491	0.862	0.99881	0.02	no reported evidence	1.0	2	0	2002.0	2006.0
Alzheimer's Disease	C0002395	NES	10763	P48681	nestin		158	0.51	0.655	0.00012366	0.02	no reported evidence	1.0	2	0	2008.0	2016.0
Alzheimer's Disease	C0002395	PLK2	10769	Q9NYY3	polo like kinase 2		54	0.621	0.586	0.9999	0.02	no reported evidence	1.0	2	2	2010.0	2016.0
Alzheimer's Disease	C0002395	PSIP1	11168	O75475	PC4 and SFRS1 interacting protein 1	signaling molecule; transcription factor	93	0.555	0.655	0.9994	0.02	no reported evidence	1.0	2	0	2009.0	2015.0
Alzheimer's Disease	C0002395	SHANK2	22941	Q9UPX8	SH3 and multiple ankyrin repeat domains 2		27	0.713	0.276	6.0519e-06	0.02	no reported evidence	1.0	2	0	2014.0	2014.0
Alzheimer's Disease	C0002395	SYNM	23336	O15061	synemin		30	0.681	0.379	4.8635e-23	0.02	no reported evidence	1.0	2	0	2000.0	2015.0
Alzheimer's Disease	C0002395	ADNP	23394	Q9H2P0	activity dependent neuroprotector homeobox		62	0.663	0.517	1.0	0.02	no reported evidence	1.0	2	0	2015.0	2016.0
Alzheimer's Disease	C0002395	SRRM2	23524	Q9UQ35	serine/arginine repetitive matrix 2		144	0.514	0.759	1.0	0.02	no reported evidence	1.0	2	0	2006.0	2011.0
Alzheimer's Disease	C0002395	LPAR3	23566	Q9UBY5	lysophosphatidic acid receptor 3	receptor	46	0.639	0.552	0.69491	0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	PPIL2	23759	Q13356	peptidylprolyl isomerase like 2	isomerase	1	1.0	0.069	0.00063198	0.02	no reported evidence	0.5	2	0	2008.0	2010.0
Alzheimer's Disease	C0002395	CIZ1	25792	Q9ULV3	CDKN1A interacting zinc finger protein 1		38	0.685	0.379	0.0492	0.02	no reported evidence	1.0	2	0	2009.0	2016.0
Alzheimer's Disease	C0002395	RNF19A	25897	Q9NV58	ring finger protein 19A, RBR E3 ubiquitin protein ligase	ligase	179	0.488	0.862	0.023982	0.02	no reported evidence	1.0	2	0	2002.0	2006.0
Alzheimer's Disease	C0002395	APPL1	26060	Q9UKG1	adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1		32	0.656	0.448	0.80874	0.02	no reported evidence	1.0	2	0	1992.0	2017.0
Alzheimer's Disease	C0002395	POLDIP2	26073	Q9Y2S7	DNA polymerase delta interacting protein 2		178	0.489	0.862	0.40515	0.02	no reported evidence	1.0	2	0	2002.0	2006.0
Alzheimer's Disease	C0002395	GGA1	26088	Q9UJY5	golgi associated, gamma adaptin ear containing, ARF binding protein 1		3	0.886	0.172	0.99992	0.02	no reported evidence	0.0	2	0	2006.0	2012.0
Alzheimer's Disease	C0002395	SIGLEC7	27036	Q9Y286	sialic acid binding Ig like lectin 7	cell adhesion molecule; defense/immunity protein; receptor; signaling molecule; structural protein	56	0.602	0.552	8.0715e-08	0.02	no reported evidence	1.0	2	0	2009.0	2015.0
Alzheimer's Disease	C0002395	DISC1	27185	Q9NRI5	DISC1 scaffold protein		83	0.592	0.552	1.7228e-06	0.02	no reported evidence	1.0	2	0	2016.0	2016.0
Alzheimer's Disease	C0002395	RBMS3	27303	Q6XE24	RNA binding motif single stranded interacting protein 3		148	0.511	0.759	0.24262	0.02	no reported evidence	1.0	2	0	2006.0	2011.0
Alzheimer's Disease	C0002395	PCSK1N	27344	Q9UHG2	proprotein convertase subtilisin/kexin type 1 inhibitor	enzyme modulator	9	0.799	0.241	0.5241	0.02	no reported evidence	1.0	2	0	2004.0	2014.0
Alzheimer's Disease	C0002395	HTRA2	27429	O43464	HtrA serine peptidase 2	chaperone; hydrolase; protease	90	0.582	0.448	0.0037425	0.02	no reported evidence	1.0	2	2	2011.0	2016.0
Alzheimer's Disease	C0002395	DLL1	28514	O00548	delta like canonical Notch ligand 1		108	0.538	0.69	0.99999	0.02	no reported evidence	1.0	2	0	2006.0	2006.0
Alzheimer's Disease	C0002395	EEF2K	29904	O00418	eukaryotic elongation factor 2 kinase		16	0.727	0.207	8.4751e-20	0.02	no reported evidence	1.0	2	0	2005.0	2014.0
Alzheimer's Disease	C0002395	ERVW-1	30816	Q9UQF0	endogenous retrovirus group W member 1, envelope		171	0.502	0.724		0.02	no reported evidence	1.0	2	0	1999.0	2001.0
Alzheimer's Disease	C0002395	PLA2G3	50487	Q9NZ20	phospholipase A2 group III		9	0.799	0.172	2.2385e-11	0.02	no reported evidence	1.0	2	0	2011.0	2016.0
Alzheimer's Disease	C0002395	HSPA14	51182	Q0VDF9	heat shock protein family A (Hsp70) member 14		81	0.565	0.759	0.57597	0.02	no reported evidence	1.0	2	0	2003.0	2011.0
Alzheimer's Disease	C0002395	PRRX2	51450	Q99811	paired related homeobox 2		19	0.727	0.345	0.14292	0.02	no reported evidence	1.0	2	0	2003.0	2007.0
Alzheimer's Disease	C0002395	HSD17B7	51478	P56937	hydroxysteroid 17-beta dehydrogenase 7		63	0.596	0.379	6.3752e-06	0.02	no reported evidence	1.0	2	0	2004.0	2009.0
Alzheimer's Disease	C0002395	WWOX	51741	Q9NZC7	WW domain containing oxidoreductase	oxidoreductase	214	0.489	0.655	6.9607e-16	0.02	no reported evidence	1.0	2	0	2004.0	2005.0
Alzheimer's Disease	C0002395	DDIT4	54541	Q9NX09	DNA damage inducible transcript 4		38	0.648	0.517	0.00073382	0.02	no reported evidence	1.0	2	0	2004.0	2010.0
Alzheimer's Disease	C0002395	PNO1	56902	Q9NRX1	partner of NOB1 homolog		143	0.515	0.759	0.24173	0.02	no reported evidence	1.0	2	0	2006.0	2011.0
Alzheimer's Disease	C0002395	SLC17A7	57030	Q9P2U7	solute carrier family 17 member 7	transporter	49	0.645	0.207	0.9999	0.02	no reported evidence	1.0	2	0	2011.0	2014.0
Alzheimer's Disease	C0002395	MCOLN1	57192	Q9GZU1	mucolipin 1	transporter	69	0.659	0.414	0.00044781	0.02	no reported evidence	1.0	2	0	2016.0	2018.0
Alzheimer's Disease	C0002395	NDRG2	57447	Q9UN36	NDRG family member 2	hydrolase; protease	95	0.558	0.621	9.4533e-05	0.02	no reported evidence	1.0	2	0	2004.0	2018.0
Alzheimer's Disease	C0002395	LGR6	59352	Q9HBX8	leucine rich repeat containing G protein-coupled receptor 6		43	0.652	0.483	1.1115e-05	0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	ABCG4	64137	Q9H172	ATP binding cassette subfamily G member 4	transporter	8	0.834	0.207	1.6355e-06	0.02	no reported evidence	1.0	2	0	2008.0	2016.0
Alzheimer's Disease	C0002395	WNK1	65125	Q9H4A3	WNK lysine deficient protein kinase 1	kinase; transferase	253	0.472	0.793	1.0	0.02	no reported evidence	1.0	2	0	2013.0	2015.0
Alzheimer's Disease	C0002395	DHX40	79665	Q8IX18	DEAH-box helicase 40	nucleic acid binding	23	0.727	0.379	0.74591	0.02	no reported evidence	1.0	2	0	1988.0	2016.0
Alzheimer's Disease	C0002395	EHMT1	79813	Q9H9B1	euchromatic histone lysine methyltransferase 1		132	0.579	0.586	1.0	0.02	no reported evidence	1.0	2	0	1999.0	2014.0
Alzheimer's Disease	C0002395	COASY	80347	Q13057	Coenzyme A synthase	kinase; transferase	66	0.621	0.448	1.4305e-09	0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	COL18A1	80781	P39060	collagen type XVIII alpha 1 chain		188	0.489	0.759	1.5156e-09	0.02	no reported evidence		2	1	2002.0	2002.0
Alzheimer's Disease	C0002395	BHLHB9	80823	Q6PI77	basic helix-loop-helix family member b9		2	1.0	0.069	0.022527	0.02	no reported evidence	1.0	2	0	2005.0	2012.0
Alzheimer's Disease	C0002395	HM13	81502	Q8TCT9	histocompatibility minor 13	hydrolase; protease; signaling molecule	24	0.69	0.414	0.69072	0.02	no reported evidence	1.0	2	0	2013.0	2015.0
Alzheimer's Disease	C0002395	ARHGAP24	83478	Q8N264	Rho GTPase activating protein 24		188	0.481	0.724	6.14e-10	0.02	no reported evidence	0.5	2	1	2009.0	2013.0
Alzheimer's Disease	C0002395	PPP1R1B	84152	Q9UD71	protein phosphatase 1 regulatory inhibitor subunit 1B	enzyme modulator; signaling molecule	61	0.624	0.379	0.25069	0.02	no reported evidence	1.0	2	0	2016.0	2017.0
Alzheimer's Disease	C0002395	SYVN1	84447	Q86TM6	synoviolin 1		34	0.656	0.621	0.99959	0.02	no reported evidence	1.0	2	0	2012.0	2014.0
Alzheimer's Disease	C0002395	EBPL	84650	Q9BY08	EBP like	isomerase	14	0.735	0.276	0.002565	0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	UBASH3B	84959	Q8TF42	ubiquitin associated and SH3 domain containing B		53	0.611	0.69	4.8365e-05	0.02	no reported evidence	1.0	2	0	2003.0	2009.0
Alzheimer's Disease	C0002395	NAV3	89795	Q8IVL0	neuron navigator 3		26	0.69	0.483	1.0	0.02	no reported evidence	1.0	2	0	2010.0	2016.0
Alzheimer's Disease	C0002395	CHRFAM7A	89832	P36544;Q494W8	CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion	receptor; transporter	28	0.672	0.207	0.0012795	0.02	no reported evidence	1.0	2	0	2009.0	2015.0
Alzheimer's Disease	C0002395	IL33	90865	O95760	interleukin 33		164	0.503	0.793	7.7528e-10	0.02	no reported evidence	1.0	2	2	2010.0	2012.0
Alzheimer's Disease	C0002395	MTG1	92170	Q9BT17	mitochondrial ribosome associated GTPase 1		107	0.545	0.724	0.057923	0.02	no reported evidence	1.0	2	0	2005.0	2009.0
Alzheimer's Disease	C0002395	PRRT2	112476	Q7Z6L0	proline rich transmembrane protein 2		196	0.491	0.793	0.56604	0.02	no reported evidence	1.0	2	0	1996.0	2015.0
Alzheimer's Disease	C0002395	MRGPRX3	117195	Q96LB0	MAS related GPR family member X3		20	0.762	0.483		0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	MRGPRX4	117196	Q96LA9	MAS related GPR family member X4		20	0.762	0.483		0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	HSPB6	126393	O14558	heat shock protein family B (small) member 6		18	0.752	0.276	0.092015	0.02	no reported evidence	1.0	2	0	2012.0	2015.0
Alzheimer's Disease	C0002395	RBM45	129831	Q8IUH3	RNA binding motif protein 45		368	0.407	0.828	2.5077e-10	0.02	no reported evidence	1.0	2	0	2009.0	2011.0
Alzheimer's Disease	C0002395	GPR151	134391	Q8TDV0	G protein-coupled receptor 151		22	0.743	0.517	3.8315e-08	0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	SLC2A14	144195	Q8TDB8	solute carrier family 2 member 14		39	0.648	0.448	0.026692	0.02	no reported evidence	1.0	2	1	2011.0	2013.0
Alzheimer's Disease	C0002395	RBFOX3	146713	A6NFN3	RNA binding fox-1 homolog 3	nucleic acid binding	33	0.69	0.414	0.99779	0.02	no reported evidence	1.0	2	0	2010.0	2010.0
Alzheimer's Disease	C0002395	PDIK1L	149420	Q8N165	PDLIM1 interacting kinase 1 like	kinase; transferase	74	0.573	0.621	0.28832	0.02	no reported evidence	1.0	2	0	2000.0	2007.0
Alzheimer's Disease	C0002395	GPBAR1	151306	Q8TDU6	G protein-coupled bile acid receptor 1	receptor	59	0.624	0.586	1.0303e-08	0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	DPPA2	151871	Q7Z7J5	developmental pluripotency associated 2		7	0.834	0.172	2.6448e-09	0.02	no reported evidence	1.0	2	0	1998.0	2010.0
Alzheimer's Disease	C0002395	OXER1	165140	Q8TDS5	oxoeicosanoid receptor 1		21	0.762	0.483	8.5888e-08	0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	GPRC6A	222545	Q5T6X5	G protein-coupled receptor class C group 6 member A	receptor; transporter	25	0.727	0.483	5.1181e-17	0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	MRGPRX1	259249	Q96LB2	MAS related GPR family member X1		21	0.752	0.483		0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	MOGAT3	346606	Q86VF5	monoacylglycerol O-acyltransferase 3	transferase	3	0.886	0.172	9.3892e-13	0.02	no reported evidence	1.0	2	0	2007.0	2009.0
Alzheimer's Disease	C0002395	AGRN	375790	O00468	agrin	enzyme modulator; extracellular matrix protein; receptor	20	0.735	0.31	3.3507e-06	0.02	no reported evidence		2	0	2002.0	2009.0
Alzheimer's Disease	C0002395	ARMS2	387715	P0C7Q2	age-related maculopathy susceptibility 2		30	0.681	0.276	0.00042738	0.02	no reported evidence	1.0	2	1	2008.0	2012.0
Alzheimer's Disease	C0002395	MIR206	406989		microRNA 206		91	0.557	0.621		0.02	no reported evidence	1.0	2	0	2012.0	2017.0
Alzheimer's Disease	C0002395	MIR212	406994		microRNA 212		57	0.611	0.552		0.02	no reported evidence	1.0	2	0	2011.0	2014.0
Alzheimer's Disease	C0002395	MIR29B1	407024		microRNA 29b-1		92	0.558	0.69		0.02	no reported evidence	1.0	2	0	2013.0	2016.0
Alzheimer's Disease	C0002395	MIR29B2	407025		microRNA 29b-2		95	0.554	0.724		0.02	no reported evidence	1.0	2	0	2013.0	2016.0
Alzheimer's Disease	C0002395	MIR29C	407026		microRNA 29c		87	0.558	0.655		0.02	no reported evidence	1.0	2	0	2016.0	2018.0
Alzheimer's Disease	C0002395	EIF2AK4	440275	Q9P2K8	eukaryotic translation initiation factor 2 alpha kinase 4	kinase; transferase	37	0.696	0.414	1.4106e-15	0.02	no reported evidence	1.0	2	0	2013.0	2014.0
Alzheimer's Disease	C0002395	VN1R17P	441931	Q8TDU5	vomeronasal 1 receptor 17 pseudogene		22	0.743	0.517		0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	GPR166P	442206		G protein-coupled receptor 166 pseudogene		20	0.762	0.483		0.02	no reported evidence	1.0	2	0	2010.0	2012.0
Alzheimer's Disease	C0002395	MIR424	494336		microRNA 424		66	0.6	0.552		0.02	no reported evidence	1.0	2	0	2011.0	2014.0
Alzheimer's Disease	C0002395	LOC643387	643387		TAR DNA binding protein pseudogene		6	0.834	0.103		0.02	no reported evidence		2	0	2007.0	2007.0
Alzheimer's Disease	C0002395	SPAG11A	653423	Q08648;Q6PDA7	sperm associated antigen 11A		34	0.659	0.621	0.0045066	0.02	no reported evidence	1.0	2	0	2006.0	2009.0
Alzheimer's Disease	C0002395	ZGLP1	100125288	P0C6A0	zinc finger, GATA-like protein 1		33	0.663	0.483	0.40842	0.02	no reported evidence	1.0	2	0	1999.0	2014.0
Alzheimer's Disease	C0002395	CASP12	100506742	Q6UXS9	caspase 12 (gene/pseudogene)	enzyme modulator; hydrolase; protease	38	0.633	0.69	0.00038679	0.02	no reported evidence	1.0	2	0	2004.0	2010.0
Alzheimer's Disease	C0002395	CBSL	102724560	P0DN79;P35520	cystathionine-beta-synthase like	hydrolase; isomerase; lyase	70	0.592	0.552		0.02	no reported evidence	1.0	2	0	2005.0	2010.0
Alzheimer's Disease	C0002395	AAVS1	17		adeno-associated virus integration site 1		42	0.645	0.586		0.01	no reported evidence	1.0	1	0	2013.0	2013.0
Alzheimer's Disease	C0002395	ABL1	25	P00519	ABL proto-oncogene 1, non-receptor tyrosine kinase		233	0.475	0.69	0.99998	0.01	no reported evidence		1	0	2006.0	2006.0
Alzheimer's Disease	C0002395	ACADVL	37	P49748	acyl-CoA dehydrogenase very long chain	oxidoreductase; transferase	41	0.735	0.345	7.9939e-15	0.01	no reported evidence	1.0	1	0	2015.0	2015.0
Alzheimer's Disease	C0002395	ACO2	50	Q99798	aconitase 2	lyase	60	0.636	0.483	0.18091	0.01	no reported evidence	1.0	1	0	2013.0	2013.0
Alzheimer's Disease	C0002395	ADARB1	104	P78563	adenosine deaminase, RNA specific B1	defense/immunity protein; enzyme modulator; hydrolase; nucleic acid binding	39	0.656	0.586	0.98436	0.01	no reported evidence	1.0	1	0	2014.0	2014.0
Alzheimer's Disease	C0002395	ADCY2	108	Q08462	adenylate cyclase 2		14	0.762	0.207	0.99974	0.01	no reported evidence	1.0	1	0	2013.0	2013.0
Alzheimer's Disease	C0002395	ADCYAP1	116	P18509	adenylate cyclase activating polypeptide 1	signaling molecule	78	0.598	0.586	0.52237	0.01	no reported evidence	1.0	1	0	2015.0	2015.0
Alzheimer's Disease	C0002395	ADD3	120	Q9UEY8	adducin 3	cytoskeletal protein	38	0.659	0.483	0.99815	0.01	no reported evidence	1.0	1	0	2010.0	2010.0
Alzheimer's Disease	C0002395	ADM	133	P35318	adrenomedullin	signaling molecule	246	0.471	0.724	0.034615	0.01	no reported evidence	1.0	1	0	2016.0	2016.0
Alzheimer's Disease	C0002395	ADRA2A	150	P08913	adrenoceptor alpha 2A	receptor	54	0.633	0.414	0.0050741	0.01	no reported evidence	1.0	1	0	2015.0	2015.0
Alzheimer's Disease	C0002395	ACAN	176	P16112	aggrecan	extracellular matrix protein	129	0.562	0.724	1.0	0.01	no reported evidence	1.0	1	0	2010.0	2010.0
Alzheimer's Disease	C0002395	AHR	196	P35869	aryl hydrocarbon receptor	receptor; transcription factor	276	0.462	0.862	0.99998	0.01	no reported evidence	0.0	1	0	2004.0	2004.0
Alzheimer's Disease	C0002395	AHSG	197	P02765	alpha 2-HS glycoprotein	enzyme modulator	107	0.577	0.69	2.7212e-10	0.01	no reported evidence		1	0	2005.0	2005.0
Alzheimer's Disease	C0002395	ALOX12	239	P18054	arachidonate 12-lipoxygenase, 12S type	oxidoreductase	76	0.596	0.621	6.6067e-16	0.01	no reported evidence		1	0	2004.0	2004.0
Alzheimer's Disease	C0002395	AMD1	262	P17707	adenosylmethionine decarboxylase 1	lyase	32	0.663	0.414	0.98311	0.01	no reported evidence	1.0	1	0	2012.0	2012.0
Alzheimer's Disease	C0002395	AMD1P2	263		adenosylmethionine decarboxylase 1 pseudogene 2		21	0.713	0.379		0.01	no reported evidence	1.0	1	0	2012.0	2012.0
Alzheimer's Disease	C0002395	AMPH	273	P49418	amphiphysin		22	0.72	0.345	6.3624e-05	0.01	no reported evidence	1.0	1	0	2016.0	2016.0
Alzheimer's Disease	C0002395	ANG	283	P03950	angiogenin		118	0.547	0.69	0.29469	0.01	no reported evidence	1.0	1	0	2016.0	2016.0
Alzheimer's Disease	C0002395	ANGPT2	285	O15123	angiopoietin 2	signaling molecule	211	0.479	0.724	0.85572	0.01	no reported evidence	1.0	1	0	2007.0	2007.0
Alzheimer's Disease	C0002395	ANK3	288	Q12955	ankyrin 3		72	0.602	0.379	1.0	0.01	no reported evidence		1	0	2008.0	2008.0
Alzheimer's Disease	C0002395	SLC25A4	291	P12235	solute carrier family 25 member 4		68	0.627	0.552	0.49115	0.01	no reported evidence	1.0	1	0	2016.0	2016.0
Alzheimer's Disease	C0002395	AOC2	314	O75106	amine oxidase, copper containing 2		25	0.701	0.379	1.3007e-15	0.01	no reported evidence	1.0	1	0	2015.0	2015.0
Alzheimer's Disease	C0002395	APBA2	321	Q99767	amyloid beta precursor protein binding family A member 2	membrane traffic protein	25	0.707	0.379	0.78708	0.01	no reported evidence	1.0	1	0	1999.0	1999.0
Alzheimer's Disease	C0002395	APEH	327	P13798	acylaminoacyl-peptide hydrolase	hydrolase; protease	12	0.785	0.276	3.5292e-13	0.01	no reported evidence	1.0	1	0	2007.0	2007.0
Alzheimer's Disease	C0002395	BIRC3	330	Q13489	baculoviral IAP repeat containing 3	enzyme modulator	138	0.524	0.724	0.060335	0.01	no reported evidence	1.0	1	0	2007.0	2007.0
Alzheimer's Disease	C0002395	XIAP	331	P98170	X-linked inhibitor of apoptosis	enzyme modulator	184	0.499	0.759	0.93063	0.01	no reported evidence	1.0	1	0	2011.0	2011.0
Alzheimer's Disease	C0002395	BIRC5	332	O15392	baculoviral IAP repeat containing 5	enzyme modulator	191	0.479	0.655	0.056738	0.01	no reported evidence	1.0	1	0	2011.0	2011.0
Alzheimer's Disease	C0002395	APOA2	336	P02652	apolipoprotein A2	transfer/carrier protein; transporter	50	0.619	0.552	0.048586	0.01	no reported evidence	0.0	1	0	1999.0	1999.0
Alzheimer's Disease	C0002395	APOC3	345	P02656	apolipoprotein C3		107	0.552	0.586	0.0093665	0.01	no reported evidence	1.0	1	0	2016.0	2016.0
Alzheimer's Disease	C0002395	KLK3	354	P07288	kallikrein related peptidase 3	hydrolase; protease	153	0.519	0.793	4.7792e-06	0.01	no reported evidence	1.0	1	0	2003.0	2003.0
Alzheimer's Disease	C0002395	FASLG	356	P48023	Fas ligand	signaling molecule	253	0.462	0.862	0.18367	0.01	no reported evidence		1	0	2003.0	2003.0
Alzheimer's Disease	C0002395	ARG2	384	P78540	arginase 2	hydrolase	53	0.627	0.586	0.0001399	0.01	no reported evidence	1.0	1	1	2011.0	2011.0
Alzheimer's Disease	C0002395	RHOA	387	P61586	ras homolog family member A	enzyme modulator	96	0.565	0.586	0.8574	0.01	no reported evidence	1.0	1	0	2010.0	2010.0
Alzheimer's Disease	C0002395	SERPINC1	462	P01008	serpin family C member 1	enzyme modulator	101	0.554	0.621	0.99863	0.01	no reported evidence	1.0	1	0	1993.0	1993.0
Alzheimer's Disease	C0002395	ZFHX3	463	Q15911	zinc finger homeobox 3		51	0.656	0.517	1.0	0.01	no reported evidence	1.0	1	0	2016.0	2016.0
Alzheimer's Disease	C0002395	ATP12A	479	P54707	ATPase H+/K+ transporting non-gastric alpha2 subunit	hydrolase; transporter	70	0.582	0.621	7.0817e-14	0.01	no reported evidence	1.0	1	0	2013.0	2013.0
Alzheimer's Disease	C0002395	ATP4A	495	P20648	ATPase H+/K+ transporting subunit alpha	hydrolase; transporter	39	0.642	0.586	4.2998e-11	0.01	no reported evidence	1.0	1	0	2013.0	2013.0
Alzheimer's Disease	C0002395	ATP5MC1	516	P05496	ATP synthase membrane subunit c locus 1	transporter	5	0.834	0.172		0.01	no reported evidence	1.0	1	0	2016.0	2016.0
Alzheimer's Disease	C0002395	ATP5MC2	517	Q06055	ATP synthase membrane subunit c locus 2	transporter	4	0.886	0.172		0.01	no reported evidence	1.0	1	0	2016.0	2016.0
Alzheimer's Disease	C0002395	ATP5PF	522	P18859	ATP synthase peripheral stalk subunit F6		15	0.762	0.345		0.01	no reported evidence	1.0	1	0	2016.0	2016.0
Alzheimer's Disease	C0002395	AVP	551	P01185	arginine vasopressin	signaling molecule	238	0.486	0.759	0.075195	0.01	no reported evidence	1.0	1	0	2009.0	2009.0
Alzheimer's Disease	C0002395	AZU1	566	P20160	azurocidin 1	hydrolase; protease	14	0.785	0.379	4.2754e-05	0.01	no reported evidence	1.0	1	0	2016.0	2016.0
Alzheimer's Disease	C0002395	CCND1	595	P24385	cyclin D1	enzyme modulator	589	0.365	0.828	0.90065	0.01	no reported evidence	1.0	1	0	2015.0	2015.0
Alzheimer's Disease	C0002395	BCL2L2	599	Q92843	BCL2 like 2	signaling molecule	28	0.667	0.414	0.48555	0.01	no reported evidence		1	0	2004.0	2004.0
Alzheimer's Disease	C0002395	BCS1L	617	Q9Y276	BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone		139	0.573	0.586	9.9071e-14	0.01	no reported evidence	1.0	1	0	2013.0	2013.0
Alzheimer's Disease	C0002395	BCYRN1	618		brain cytoplasmic RNA 1		12	0.785	0.172		0.01	no reported evidence	1.0	1	0	2007.0	2007.0
Alzheimer's Disease	C0002395	BDKRB2	624	P30411	bradykinin receptor B2	receptor	79	0.619	0.621	0.13329	0.01	no reported evidence		1	0	2002.0	2002.0
Alzheimer's Disease	C0002395	BID	637	P55957	BH3 interacting domain death agonist		46	0.642	0.621	1.3009e-11	0.01	no reported evidence	0.0	1	0	2011.0	2011.0
Alzheimer's Disease	C0002395	BLM	641	P54132	Bloom syndrome RecQ like helicase		137	0.562	0.69	9.3105e-15	0.01	no reported evidence	1.0	1	0	2013.0	2013.0
Alzheimer's Disease	C0002395	BMP6	654	P22004	bone morphogenetic protein 6	signaling molecule	92	0.557	0.69	0.78104	0.01	no reported evidence	1.0	1	0	2010.0	2010.0
Alzheimer's Disease	C0002395	BRS3	680	P32247	bombesin receptor subtype 3		94	0.569	0.69	0.90963	0.01	no reported evidence	1.0	1	0	2011.0	2011.0
Alzheimer's Disease	C0002395	BST1	683	Q10588	bone marrow stromal cell antigen 1	hydrolase; lyase	13	0.785	0.345	3.6969e-10	0.01	no reported evidence	0.0	1	0	2014.0	2014.0
Alzheimer's Disease	C0002395	C3AR1	719	Q16581	complement C3a receptor 1	receptor	27	0.696	0.448	3.3378e-09	0.01	no reported evidence	1.0	1	0	2016.0	2016.0
Alzheimer's Disease	C0002395	C5	727	P01031	complement C5	defense/immunity protein; enzyme modulator; signaling molecule	55	0.611	0.655	6.1012e-24	0.01	no reported evidence	1.0	1	0	2011.0	2011.0
Alzheimer's Disease	C0002395	C9	735	P02748	complement C9		36	0.652	0.517	1.6008e-24	0.01	no reported evidence	1.0	1	0	2001.0	2001.0
Alzheimer's Disease	C0002395	C21orf2	755	O43822	chromosome 21 open reading frame 2		53	0.663	0.414	3.4572e-07	0.01	no reported evidence		1	0	2004.0	2004.0
Alzheimer's Disease	C0002395	CA2	760	P00918	carbonic anhydrase 2		137	0.557	0.69	1.4139e-06	0.01	no reported evidence	1.0	1	0	2013.0	2013.0
Alzheimer's Disease	C0002395	SLC25A20	788	O43772	solute carrier family 25 member 20		84	0.619	0.586	1.1438e-07	0.01	no reported evidence	1.0	1	0	2013.0	2013.0
Alzheimer's Disease	C0002395	CALB2	794	P22676	calbindin 2	calcium-binding protein	40	0.642	0.379	3.7814e-07	0.01	no reported evidence	1.0	1	0	2010.0	2010.0
Alzheimer's Disease	C0002395	CALCA	796	P01258;P06881	calcitonin related polypeptide alpha	signaling molecule	274	0.456	0.828	0.013536	0.01	no reported evidence	1.0	1	0	2018.0	2018.0
Alzheimer's Disease	C0002395	CALCR	799	P30988	calcitonin receptor		73	0.588	0.586	3.3373e-07	0.01	no reported evidence	1.0	1	0	2014.0	2014.0
